id,name,screen_name,friends_count,followers_count,location,created_at,favourites_count,time_zone,statuses_count,lang,url,description,utc_offset,verified,geo_enabled,protected,contributors_enabled,listed_count,is_translator,profile_image_url,profile_background_image_url,time_collected,account_age
783214,Twitter,twitter,102,33208023,"San Francisco, CA","Tue Feb 20 06:35:54 PST 2007",21,"Pacific Time (US & Canada)",1828,en,http://t.co/5iRhy7wTgu,"Your official source for news, updates and tips from Twitter, Inc.",-28800,true,true,false,false,86645,false,http://pbs.twimg.com/profile_images/530553072594874368/7f9QErOD_bigger.png,http://pbs.twimg.com/profile_background_images/657090062/l1uqey5sy82r9ijhke1i.png,1415421082162,7.72years
6253282,"Twitter API",twitterapi,48,2456291,"San Francisco, CA","Tue May 22 23:01:13 PDT 2007",27,"Pacific Time (US & Canada)",3523,en,http://t.co/78pYTvWfJd,"The Real Twitter API. I tweet about API changes, service issues and happily answer questions about Twitter and our API. Don't get an answer? It's on my website.",-28800,true,true,false,false,12859,false,http://pbs.twimg.com/profile_images/2284174872/7df3h38zabcvjylnyfe3_bigger.png,http://pbs.twimg.com/profile_background_images/656927849/miyt9dpjz77sc0w3d4vj.png,1415421082347,7.47years
